[     251ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2431
[     304ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2431
[   98783ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=opWr0SZJ_SZ5vZTe1qPdG' failed:  @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[   99790ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=opWr0SZJ_SZ5vZTe1qPdG' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[  100794ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=opWr0SZJ_SZ5vZTe1qPdG' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[  101798ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=opWr0SZJ_SZ5vZTe1qPdG' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[  102804ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=opWr0SZJ_SZ5vZTe1qPdG' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[  103810ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=opWr0SZJ_SZ5vZTe1qPdG' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[  108817ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=opWr0SZJ_SZ5vZTe1qPdG' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[  113832ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=opWr0SZJ_SZ5vZTe1qPdG' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[  118849ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=opWr0SZJ_SZ5vZTe1qPdG' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[  123888ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=opWr0SZJ_SZ5vZTe1qPdG' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[  128954ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=opWr0SZJ_SZ5vZTe1qPdG' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[  134056ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=opWr0SZJ_SZ5vZTe1qPdG' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[  139332ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=opWr0SZJ_SZ5vZTe1qPdG' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
